# CentralScrutinizer Simplified Chinese
Loading platforms...	正在加载平台…
Loading more platforms...	正在加载更多平台…
Workspace	工作区
Device utilities for files, logs, and direct shell access.	文件、日志和直接 Shell 访问工具。
Browse the SD card filesystem and manage folders from the tools workspace.	从工具工作区浏览 SD 卡文件系统并管理文件夹。
Scan for safe macOS transfer artifacts like .DS_Store, ._ sidecars, and __MACOSX folders.	扫描 .DS_Store、._ 伴随文件和 __MACOSX 文件夹等 macOS 传输残留。
Scan Leaf app logs, download them, and follow output live.	扫描 Leaf 应用日志、下载日志并实时跟踪输出。
Open a PTY-backed shell in the browser after acknowledging the safety warning.	确认安全警告后在浏览器中打开 PTY Shell。
Terminal access is disabled on the handheld. Enable it from the device settings screen.	掌机上的终端访问已禁用，请在设备设置中启用。
Enable on handheld	在掌机上启用
Open tool	打开工具
Edit	编辑
Close editor	关闭编辑器
Edit contents of	编辑内容：
bytes	字节
Extract ZIP	解压 ZIP
Close dialog	关闭对话框
How would you like to extract the contents?	请选择解压方式。
Allow overwriting existing files	允许覆盖现有文件
Off by default. Existing folders merge automatically, but file and folder type conflicts still block extraction.	默认关闭。现有文件夹会自动合并，但文件与文件夹类型冲突仍会阻止解压。
Enable overwrite to replace these existing files.	启用覆盖以替换这些现有文件。
Checking destination for conflicts...	正在检查目标位置冲突…
Extraction stays paused until the preview scan finishes.	预览扫描完成前，解压将保持暂停。
Checking...	检查中…
Extract	解压
Name	名称
No files found in this directory.	此目录中没有文件。
Nothing found in this folder.	此文件夹中没有内容。
Replace Art	替换封面
More actions for	更多操作：
Browse folders and choose a destination visually.	浏览文件夹并直观选择目标位置。
Destination	目标位置
Open a folder below, then choose “Move Here”.	打开下方文件夹，然后选择“移动到此处”。
Loading folders...	正在加载文件夹…
No folders in this location.	此位置没有文件夹。
Search Results	搜索结果
No matches found.	未找到匹配项。
Log Tail	日志尾部
Waiting for log output...	等待日志输出…
Scan Leaf app logs, then tail or download them.	扫描 Leaf 应用日志，然后查看或下载。
Scanning for log files...	正在扫描日志文件…
No log files found.	未找到日志文件。
Path	路径
Last Updated	最后更新
No save states found for this platform.	此平台没有存档状态。
No preview available	无可用预览
Back to logs	返回日志
Auto-scroll	自动滚动
Clear View	清除视图
Rescan	重新扫描
Scanning...	扫描中…
Download All as Zip	全部下载为 ZIP
Downloading...	正在下载…
File	文件
Open Tail	打开日志尾部
Clean Now	立即清理
Cleaning...	正在清理…
Scanning for macOS dotfiles...	正在扫描 macOS 点文件…
No macOS transfer artifacts found.	未找到 macOS 传输残留。
Close move picker	关闭移动选择器
Ready to move into the selected folder.	可以移动到所选文件夹。
Selected items are already in this folder.	所选项目已在此文件夹中。
selected	已选择
No	否
OK	确定
Could not prepare background mode.	无法准备后台模式。
Could not start the background server.	无法启动后台服务器。
Could not start background mode. The app will stay in the foreground.	无法启动后台模式。应用将保持在前台运行。
Background mode failed and the foreground server could not be restored.	后台模式失败，前台服务器无法恢复。
Pairing failed	配对失败
Connection restored, but this browser is no longer trusted. Refresh the PIN or QR code on the device to pair again.	连接已恢复，但此浏览器不再受信任。请在设备上刷新 PIN 码或二维码重新配对。
Connection to the device is unavailable. Open the device app on the handheld to continue.	与设备的连接不可用。请在手持设备上打开设备应用继续。
Search platforms...	搜索平台...
Search in current folder	搜索当前文件夹
Download and remove grouped save-state bundles for the selected platform.	下载或删除所选平台的分组存档状态包。
Browse, upload, rename, and delete managed content for the selected platform.	浏览、上传、重命名和删除所选平台的托管内容。
Browser	浏览器
Browse the device filesystem and manage folders safely.	安全浏览设备文件系统并管理文件夹。
Scan, tail, and download Leaf app logs.	扫描、跟踪和下载 Leaf 应用日志。
Open a PTY-backed shell when it is enabled on the handheld.	在手持设备启用时打开 PTY 终端。
Scan and remove safe macOS transfer artifacts from SD storage.	扫描并清除 SD 存储中的安全 macOS 传输文件。
Shortcuts and maintenance utilities for this device.	此设备的快捷方式和维护工具。
Manage content by platform and jump into system-specific workspaces.	按平台管理内容并跳转到系统特定的工作区。
Loading browser...	加载浏览器中...
Search results truncated at 200 matches.	搜索结果在 200 个匹配处截断。
Open an SD card source before uploading files.	上传文件前请先打开 SD 卡源。
Folder name	文件夹名称
Rename item	重命名项目
Back to Library	返回库
Terminal access was disabled on the handheld.	终端访问在手持设备上已禁用。
Terminal connection failed.	终端连接失败。
Terminal session closed.	终端会话已关闭。
This opens a real shell on the device. Use it only when you understand the commands you are running.	这将在设备上打开真实 Shell。仅在您理解正在运行的命令时使用。
The session starts in the SD card root and uses the device shell through a PTY-backed websocket.	会话从 SD 卡根目录开始，通过 PTY 支持的 WebSocket 使用设备 Shell。
Acknowledge And Connect	确认并连接
Connecting terminal...	连接终端中...
Connected	已连接
Terminal access is disabled on the handheld. Enable it from the device settings screen first.	终端访问在手持设备上已禁用。请先从设备设置屏幕启用。
Cancel Upload	取消上传
Action needed	需要操作
Done	完成
Notice	通知
Dismiss	关闭
ROMs	ROM
Saves	存档
BIOS	BIOS
Overlays	覆盖层
Cheats	作弊码
items	个项目
Drop files here to upload	将文件拖放到此处上传
Reading files…	读取文件中…
Reading dropped files	读取拖放文件中
Download Selected	下载所选
Creating Zip...	创建 ZIP 中...
Move Selected	移动所选
Delete Selected	删除所选
Clear Selection	清除选择
Bulk download works with file-only selections.	批量下载仅适用于文件选择。
Move, delete, or download the selected files from this folder.	移动、删除或下载此文件夹中的所选文件。
matches	个匹配
Load more	加载更多
remaining	剩余
Size	大小
Modified	修改时间
Action	操作
Folder	文件夹
Select all visible items	全选所有可见项
Go to parent folder	返回上级文件夹
Library Browser	库浏览器
Upload File	上传文件
Supported:	支持：
Exact filename:	确切文件名：
Exact filenames:	确切文件名：
Use Upload ZIP to extract a supported file from an archive.	请使用“上传 ZIP”从压缩包中提取受支持的文件。
These conflicts need a different destination or manual cleanup before extraction can continue.	这些冲突需要改用其他目标位置，或手动清理后才能继续解压。
Move Here	移动到此处
Download or remove grouped save-state bundles for	下载或删除以下平台的分组存档状态包：
Showing	显示
save-state bundles. Refresh after deleting listed entries to load the rest.	个存档状态包。删除所列条目后刷新以加载其余内容。
Upload Folder	上传文件夹
Upload ZIP	上传 ZIP
New Folder	新建文件夹
Search Tree	搜索树
Clear Results	清除结果
Save	保存
Saving...	保存中...
Loading file contents...	加载文件内容中...
Save failed. Please try again.	保存失败。请重试。
Extract here	提取到当前位置
Extract into folder	提取到文件夹
Preserve full archive path	保留完整归档路径
Place files directly in the current folder	将文件直接放置在当前文件夹中
Wrap contents under a new folder named after the archive	将内容包装到以归档命名的新文件夹中
Keep top-level folders like Apps/ exactly as stored in the archive	保持顶层文件夹如 Apps/ 与归档中完全一致
Show sample paths	显示示例路径
Hide sample paths	隐藏示例路径
Bundle Size	包大小
Download Files	下载文件
Delete Paths	删除路径
Actions	操作
Pairing is temporarily locked. Try again shortly.	配对暂时锁定。请稍后重试。
PIN is invalid or already used. Refresh it on the device and try again.	PIN 码无效或已使用。请在设备上刷新后重试。
QR code expired. Refresh it on the device and try again.	二维码已过期。请在设备上刷新后重试。
QR code is no longer valid. Refresh it on the device and try again.	二维码不再有效。请在设备上刷新后重试。
Pairing is unavailable while the app is running in background mode. Reopen it on the handheld to pair or change settings.	应用在后台模式运行时无法配对。请在手持设备上重新打开应用以配对或更改设置。
Upload was interrupted before the file finished sending.	上传在文件发送完成前被中断。
Upload check was interrupted before it finished.	上传检查在完成前被中断。
Upload request was malformed.	上传请求格式错误。
Choose at least one file or folder to upload.	请至少选择一个文件或文件夹上传。
Upload did not finish sending every file.	上传未完成所有文件的发送。
Upload target could not be resolved.	无法解析上传目标。
Upload path is invalid.	上传路径无效。
Upload folder could not be prepared.	无法准备上传文件夹。
Upload target path is invalid.	上传目标路径无效。
Could not load folders.	无法加载文件夹。
1 selection will not be scanned as	1 个选择不会被扫描为
1 selection will not be scanned as a	1 个选择不会被扫描为
Accepted exact filename	接受的精确文件名
Accepted exact filenames	接受的精确文件名
Added	已添加
Artwork must be uploaded as a PNG file.	图片必须以 PNG 文件上传。
Artwork update failed.	图片更新失败。
Artwork updated for	已更新图片：
Bulk download failed	批量下载失败
Bulk download works with file-only selections. Move and delete still work for folders.	批量下载仅适用于纯文件选择。文件夹仍可移动和删除。
Cleanup failed.	清理失败。
Could not load file contents.	无法加载文件内容。
Could not load save states.	无法加载即时存档。
Could not scan for macOS dotfiles.	无法扫描 macOS 隐藏文件。
Created folder	已创建文件夹
Delete failed.	删除失败。
Delete macOS transfer artifacts?	要删除 macOS 传输文件吗？
Delete the listed macOS transfer artifacts now?	要立即删除列出的 macOS 传输文件吗？
Deleted	已删除
Dismiss notice	关闭通知
Download failed	下载失败
Download failed.	下载失败。
Downloaded	已下载
Existing file would be replaced	现有文件将被替换
Failed to delete	删除失败
Failed to move	移动失败
Favorite update failed.	收藏状态更新失败。
File needed but a folder already exists	需要文件，但已存在文件夹
Files path	文件路径
Folder needed but a file already exists	需要文件夹，但已存在文件
Library path	库路径
Logs lookup failed	查找日志失败
Missing session csrf token.	缺少会话 CSRF 令牌。
Mobile	移动端
Move destination path	移动目标路径
Moved	已移动
Nothing to move.	没有可移动的项目。
Primary	主导航
Removed	已移除
Rename failed.	重命名失败。
Renamed	已重命名
SD Card	SD 卡
Saved	已保存
Search current folder	搜索当前文件夹
Select	选择
Terminal access is disabled on the handheld.	手持设备已禁用终端访问。
The scan found	扫描找到
This system	此系统
Upload cancelled after	上传已取消，已完成
Upload cancelled.	上传已取消。
Upload failed	上传失败
Upload format check failed.	上传格式检查失败。
Uploaded	已上传
Use Upload ZIP to extract a supported file.	请使用“上传 ZIP”解压受支持的文件。
ZIP conflict check timed out.	ZIP 冲突检查超时。
ZIP contains no uploadable files or folders.	ZIP 中没有可上传的文件或文件夹。
ZIP upload failed.	ZIP 上传失败。
accepts	接受
because that name is already in use	因为该名称已被占用
Can't rename	无法重命名
failed	失败
files for	个文件，属于
from favorites	从收藏中移除
game	游戏
games	游戏
log files	日志文件
macOS artifacts	macOS 文件
not sorted	未排序
selections will not be scanned as	个选择不会被扫描为
sorted	已排序
to	至
to favorites	加入收藏
total	总计
Blocking type conflicts	阻止提取的类型冲突
Choose another extraction layout or include a file format supported by this system.	请选择其他解压布局，或加入此系统支持的文件格式。
Replaceable file conflicts	可替换文件冲突
Some paths need attention before extraction can continue.	部分路径需要处理后才能继续解压。
This extraction does not contain a supported game entrypoint.	此解压内容不包含受支持的游戏入口文件。
This extraction would replace existing files.	此解压操作将替换现有文件。
Unsupported ROM bundles	不受支持的 ROM 包
Central Scrutinizer terminal	掌机远程管理终端
Upload blocked because {path} already exists.	上传已阻止：{path} 已存在。
Upload blocked because {path} conflicts with an existing file or folder.	上传已阻止：{path} 与现有文件或文件夹冲突。
the destination	目标位置
Could not download {name}	无法下载 {name}
Downloading {current}/{total}: {path}	正在下载 {current}/{total}：{path}
Creating zip...	正在创建压缩包…
Current path	当前路径
Root	根目录
ZIP {label} is too large to inspect safely.	ZIP 的 {label} 过大，无法安全校验。
Disconnect failed	断开连接失败
Malformed platforms stream	平台数据流格式错误
Platforms lookup failed	获取平台列表失败
Platforms stream ended before completion	平台数据流在完成前中断
Favorite update failed	更新收藏状态失败
Library rescan failed	重新扫描库失败
That name is already in use in this folder.	此文件夹中已存在同名项目。
The item you tried to rename no longer exists.	要重命名的项目已不存在。
Rename failed	重命名失败
Delete failed	删除失败
Read failed	读取失败
Write failed	写入失败
Create folder failed	创建文件夹失败
Could not tail log	无法继续读取日志
ZIP contains too many entries ({count}). Limit is {limit}.	ZIP 条目过多（{count}），上限为 {limit}。
ZIP expands to too much data ({size}). Limit is {limit}.	ZIP 解压后数据过大（{size}），上限为 {limit}。
ZIP file could not be read.	无法读取 ZIP 文件。
ZIP central directory could not be read.	无法读取 ZIP 中央目录。
ZIP entry size could not be read.	无法读取 ZIP 条目大小。
